ID_Daño;Frame;X_Global_cm;Y_Global_cm;Area_px
1;55;0,66;11,59;2002686,00
1;56;0,72;11,84;1871164,00
1;57;0,78;12,03;2006655,00
1;58;0,78;12,22;2007792,00
1;59;0,91;12,53;1878216,00
2;221;-116,03;50,47;2000560,00
3;327;-243,31;67,72;2020692,00
3;328;-244,50;67,84;2020996,00
3;329;-245,75;67,97;2026310,00
3;330;-247,00;68,03;2024496,00
3;331;-248,25;68,03;2024809,00
3;332;-249,50;67,97;2025487,00
3;333;-250,75;67,91;1999004,00
4;374;-303,22;69,22;2035688,00
4;375;-303,78;69,59;2035880,00
4;376;-304,09;69,91;2032630,00
